   1      0.0000      0.0000       2.528       1.098       1.761       1.871       1.023       2.774       0.994       2.138       2.591       2.764       2.825       3.040
   2      0.1907      0.1491       2.436       1.097       1.785       1.862       1.023       2.762       0.993       2.122       2.599       2.753       2.820       3.041
   3      0.3813      0.6112       2.348       1.096       1.815       1.856       1.022       2.752       0.991       2.106       2.608       2.749       2.817       3.044
   4      0.5720      1.3797       2.260       1.095       1.848       1.852       1.022       2.744       0.990       2.090       2.617       2.751       2.814       3.047
   5      0.7627      2.4738       2.172       1.095       1.884       1.850       1.022       2.737       0.988       2.073       2.626       2.757       2.813       3.049
   6      0.9533      3.8938       2.081       1.095       1.921       1.849       1.021       2.732       0.986       2.053       2.634       2.766       2.812       3.050
   7      1.1440      5.3724       1.986       1.098       1.958       1.849       1.021       2.729       0.985       2.029       2.642       2.772       2.812       3.051
   8      1.3348      7.0769       1.888       1.103       1.990       1.847       1.021       2.727       0.983       2.000       2.649       2.772       2.810       3.053
   9      1.5256      8.7532       1.785       1.111       2.018       1.842       1.021       2.726       0.982       1.966       2.655       2.762       2.806       3.057
  10      1.7164     10.3707       1.674       1.129       2.040       1.831       1.022       2.724       0.980       1.929       2.660       2.735       2.798       3.064
  11      1.9062     12.4448       1.528       1.182       2.054       1.810       1.024       2.720       0.978       1.898       2.665       2.685       2.784       3.072
  12      2.0969     15.8299       1.325       1.346       2.064       1.782       1.030       2.716       0.976       1.921       2.672       2.662       2.766       3.077
  13      2.2892     15.0177       1.127       1.577       2.071       1.754       1.036       2.713       0.975       1.993       2.679       2.699       2.747       3.081
  14      2.4772     12.7286       1.038       1.770       2.117       1.709       1.044       2.698       0.973       2.052       2.699       2.805       2.716       3.106
  15      2.6670     11.9353       1.021       1.851       2.186       1.679       1.048       2.684       0.971       2.087       2.727       2.869       2.696       3.141
  16      2.8576     11.6688       1.016       1.879       2.253       1.665       1.050       2.676       0.970       2.113       2.753       2.893       2.687       3.174
