   1      0.0000      0.0000       2.529       1.098       1.761       1.870       1.023       2.774       0.994       2.138       2.591       2.765       2.825       3.040
   2      0.2001      0.1298       2.446       1.097       1.782       1.863       1.023       2.763       0.993       2.125       2.600       2.757       2.822       3.043
   3      0.4001      0.5475       2.366       1.096       1.809       1.857       1.022       2.754       0.992       2.111       2.610       2.757       2.820       3.047
   4      0.6002      1.2789       2.283       1.095       1.840       1.855       1.022       2.746       0.990       2.096       2.619       2.762       2.819       3.049
   5      0.8002      2.3476       2.196       1.095       1.877       1.855       1.021       2.739       0.988       2.080       2.629       2.772       2.819       3.049
   6      1.0003      3.6670       2.103       1.096       1.915       1.857       1.021       2.734       0.986       2.062       2.638       2.781       2.820       3.049
   7      1.2004      5.2728       1.999       1.098       1.952       1.857       1.021       2.731       0.985       2.036       2.645       2.786       2.820       3.047
   8      1.4005      7.0000       1.893       1.103       1.985       1.857       1.020       2.730       0.983       2.007       2.650       2.784       2.818       3.046
   9      1.6006      8.6083       1.784       1.112       2.011       1.854       1.021       2.730       0.982       1.975       2.655       2.770       2.815       3.046
  10      1.8009     10.2744       1.670       1.129       2.030       1.843       1.021       2.729       0.981       1.938       2.657       2.737       2.807       3.050
  11      2.0004     12.2633       1.528       1.177       2.041       1.823       1.024       2.727       0.979       1.908       2.659       2.683       2.793       3.057
  12      2.2005     15.4830       1.320       1.341       2.051       1.793       1.029       2.723       0.976       1.933       2.665       2.653       2.773       3.063
  13      2.4020     14.6182       1.116       1.584       2.060       1.761       1.036       2.719       0.975       2.008       2.672       2.696       2.752       3.068
  14      2.5992     12.5686       1.035       1.774       2.115       1.710       1.044       2.701       0.973       2.059       2.696       2.807       2.717       3.099
  15      2.7986     11.8929       1.020       1.852       2.189       1.678       1.048       2.683       0.971       2.088       2.726       2.870       2.695       3.139
  16      2.9985     11.6573       1.016       1.878       2.254       1.665       1.050       2.675       0.970       2.113       2.753       2.892       2.687       3.174
